trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.8, 'e': 0.3632682513221552}",20,14,-13.321503546411826,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.35781922755232287}",30,16,2.9615502581580966,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.352451939139038}",20,10,6.375587977213263,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.34716516005195247}",25,6,-30.775608751628674,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.34195768265117316}",25,8,24.275067731828422,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.33682831741140556}",20,0,-62.15742200650307,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.8, 'e': 0.33177589265023444}",20,10,13.221116243173908,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.32679925426048095}",20,11,5.488497702085399,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.3218972654465737}",20,15,3.7562381352033523,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.3170688064648751}",25,18,2.7415289770288163,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.312312774367902}",30,6,14.248325552788248,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.30762808275238346}",25,15,6.333991514067401,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.3030136615110977}",25,18,13.882259062789682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.29846845658843124}",20,10,-1.440695811890996,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.29399142973960474}",20,6,-16.297141504766106,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.2895815582935107}",20,2,26.920509934840428,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
